name,description,url,forks,stars,last_push,contributors
YouCompleteMe,A code-completion engine for Vim,https://api.github.com/repos/ycm-core/YouCompleteMe,2585,22374,2021-01-03T17:29:11Z,30
linux-insides,A little bit about a linux kernel,https://api.github.com/repos/0xAX/linux-insides,2514,22187,2020-12-20T10:53:37Z,30
HanLP,"Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification",https://api.github.com/repos/hankcs/HanLP,5866,21770,2021-01-06T18:32:45Z,30
interactive-coding-challenges,120+ interactive Python coding interview challenges (algorithms and data structures).  Includes Anki flashcards.,https://api.github.com/repos/donnemartin/interactive-coding-challenges,3434,21640,2020-12-11T15:29:16Z,30
compose,Define and run multi-container applications with Docker,https://api.github.com/repos/docker/compose,3561,21537,2021-01-07T10:47:11Z,30
pipenv, Python Development Workflow for Humans.,https://api.github.com/repos/pypa/pipenv,1574,21402,2020-12-22T05:34:03Z,30
ItChat,A complete and graceful API for Wechat. 微信个人号接口、微信机器人及命令行微信，三十行即可自定义个人号机器人。,https://api.github.com/repos/littlecodersh/ItChat,4947,21090,2020-11-22T19:12:56Z,16
PayloadsAllTheThings,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,https://api.github.com/repos/swisskyrepo/PayloadsAllTheThings,6170,20807,2020-12-26T21:33:35Z,30
Python,My Python Examples,https://api.github.com/repos/geekcomputers/Python,9460,20073,2021-01-06T09:04:41Z,30
data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",https://api.github.com/repos/donnemartin/data-science-ipython-notebooks,6370,20031,2020-12-21T20:44:47Z,12
rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,https://api.github.com/repos/willmcgugan/rich,573,19991,2021-01-07T16:58:45Z,30
airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://api.github.com/repos/apache/airflow,7755,19921,2021-01-07T17:31:49Z,30
algo,Set up a personal VPN in the cloud,https://api.github.com/repos/trailofbits/algo,1712,19897,2021-01-05T19:26:06Z,30
sherlock,🔎 Hunt down social media accounts by username across social networks,https://api.github.com/repos/sherlock-project/sherlock,1996,19867,2021-01-07T06:26:00Z,30
